Cipher timestamp,Timestamp,Timestamp (s),CPU %,CPU Frequency,Virtual Memory %,Virtual Memory,Swap Memory %,Swap Memory,Disk Usage %,Disk Usage,Powertop Version,Kernel Version,System Name,CPU Stats,OS Stats,Power Usage,Unit,Baseline Power,Unit,Signatures Power,Signatures Unit,Baseline Power - W,Signatures Power - W
D2 Keygen,40:57.3,1643647257,43,600,15.4,933617664,0,0,7.6,9175859200,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:40:59 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,2.19,W,1.12,W,2.19,1.12
D2 Keygen,41:02.7,1643647263,43,600,15.4,933810176,0,0,7.6,9175859200,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:41:05 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,2.22,W,1.51,W,2.22,1.51
D2 Keygen,41:08.2,1643647268,43,600,15.4,933150720,0,0,7.6,9175859200,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:41:10 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,1.97,W,1.31,W,1.97,1.31
D2 Keygen,41:13.4,1643647273,42.3,600,15.4,933060608,0,0,7.6,9175859200,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:41:15 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,1.81,W,1.14,W,1.81,1.14
D2 Keygen,41:18.8,1643647279,43,600,15.3,932851712,0,0,7.6,9175859200,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:41:21 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,2.02,W,1.51,W,2.02,1.51
D2 Keygen,41:24.1,1643647284,43,600,15.4,933756928,0,0,7.6,9175859200,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:41:26 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,2.07,W,1.51,W,2.07,1.51
D2 Keygen,41:29.4,1643647289,42.7,600,15.3,932982784,0,0,7.6,9175859200,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:41:31 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,1.57,W,868,mW,1.57,0.868
D2 Keygen,41:34.8,1643647295,42.8,600,15.4,933134336,0,0,7.6,9175859200,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:41:37 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,1.84,W,1.16,W,1.84,1.16
D2 Keygen,41:40.2,1643647300,42.8,600,15.4,933249024,0,0,7.6,9175859200,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:41:42 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,1.65,W,1.02,W,1.65,1.02
D2 Keygen,41:45.5,1643647305,42.8,600,15.4,932655104,0,0,7.6,9175863296,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:41:48 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,1.85,W,1.17,W,1.85,1.17
D2 Keygen,41:50.9,1643647311,41.9,600,15.4,933113856,0,0,7.6,9175871488,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:41:53 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,1.15,W,580,mW,1.15,0.58
D2 Keygen,41:56.4,1643647316,42.9,600,15.3,932777984,0,0,7.6,9175871488,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:41:58 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,2.02,W,1.5,W,2.02,1.5
D2 Keygen,42:01.8,1643647322,43.2,600,15.4,933232640,0,0,7.6,9175871488,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:42:04 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,1.66,W,1.03,W,1.66,1.03
D2 Keygen,42:07.1,1643647327,42.5,600,15.3,932929536,0,0,7.6,9175871488,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:42:09 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,2.19,W,1.53,W,2.19,1.53
D2 Keygen,42:12.5,1643647332,42.6,600,15.3,932630528,0,0,7.6,9175871488,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:42:14 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,1.77,W,1.13,W,1.77,1.13
D2 Keygen,42:17.9,1643647338,43.3,600,15.4,933195776,0,0,7.6,9175871488,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:42:20 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,1.86,W,1.14,W,1.86,1.14
D2 Keygen,42:23.2,1643647343,42.8,600,15.3,932831232,0,0,7.6,9175871488,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:42:25 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,1.95,W,1.29,W,1.95,1.29
D2 Keygen,42:28.7,1643647349,43,600,15.4,933052416,0,0,7.6,9175871488,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:42:31 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,1.79,W,1.17,W,1.79,1.17
D2 Keygen,42:34.0,1643647354,42.6,600,15.4,933539840,0,0,7.6,9175871488,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:42:36 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,1.69,W,1.13,W,1.69,1.13
D2 Keygen,42:39.5,1643647360,42.4,600,15.4,933593088,0,0,7.6,9175871488,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:42:42 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,1.91,W,1.28,W,1.91,1.28
D2 Keygen,42:45.0,1643647365,42.3,600,15.4,933322752,0,0,7.6,9175875584,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:42:47 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,1.3,W,711,mW,1.3,0.711
D2 Keygen,42:50.4,1643647370,42.8,600,15.3,932691968,0,0,7.6,9175875584,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:42:52 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,2.02,W,1.3,W,2.02,1.3
D2 Keygen,42:55.8,1643647376,43.1,600,15.4,933220352,0,0,7.6,9175875584,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:42:58 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,1.94,W,1.15,W,1.94,1.15
D2 Keygen,43:01.3,1643647381,43.1,600,15.3,932601856,0,0,7.6,9175875584,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:43:03 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,1.52,W,863,mW,1.52,0.863
D2 Keygen,43:06.7,1643647387,42.7,600,15.4,933040128,0,0,7.6,9175875584,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:43:09 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,1.56,W,867,mW,1.56,0.867
D2 Keygen,43:12.0,1643647392,43.1,600,15.4,933683200,0,0,7.6,9175875584,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:43:14 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,2.82,W,1.02,W,2.82,1.02
D2 Keygen,43:17.5,1643647397,42.6,600,15.4,933138432,0,0,7.6,9175875584,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:43:20 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,1.92,W,1.27,W,1.92,1.27
D2 Keygen,43:23.0,1643647403,43,600,15.3,932945920,0,0,7.6,9175875584,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:43:25 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,1.96,W,1.31,W,1.96,1.31
